date_time,date,time,irradiance,ambient_temp,wind_speed
2020-08-23 20:10:00+05:30,23-08-2020,20:10:00,0,26.8,12.07
2020-08-23 20:15:00+05:30,23-08-2020,20:15:00,0,26.74,12.14
2020-08-23 20:20:00+05:30,23-08-2020,20:20:00,0,26.67,12.21
2020-08-23 20:25:00+05:30,23-08-2020,20:25:00,0,26.61,12.27
2020-08-23 20:30:00+05:30,23-08-2020,20:30:00,0,26.55,12.34
2020-08-23 20:35:00+05:30,23-08-2020,20:35:00,0,26.53,12.24
2020-08-23 20:40:00+05:30,23-08-2020,20:40:00,0,26.51,12.14
2020-08-23 20:45:00+05:30,23-08-2020,20:45:00,0,26.48,12.04
2020-08-23 20:50:00+05:30,23-08-2020,20:50:00,0,26.46,11.93
2020-08-23 20:55:00+05:30,23-08-2020,20:55:00,0,26.44,11.83
2020-08-23 21:00:00+05:30,23-08-2020,21:00:00,0,26.42,11.73
2020-08-23 21:05:00+05:30,23-08-2020,21:05:00,0,26.39,11.63
2020-08-24 06:05:00+05:30,24-08-2020,06:05:00,0,27.36,7.23
2020-08-24 06:10:00+05:30,24-08-2020,06:10:00,0,27.36,7.3
2020-08-24 06:15:00+05:30,24-08-2020,06:15:00,0,27.36,7.37
2020-08-24 06:20:00+05:30,24-08-2020,06:20:00,0,27.36,7.44
2020-08-24 06:25:00+05:30,24-08-2020,06:25:00,0,27.36,7.51
2020-08-24 06:30:00+05:30,24-08-2020,06:30:00,0,27.36,7.57
2020-08-24 06:35:00+05:30,24-08-2020,06:35:00,0,27.38,7.55
2020-08-24 06:40:00+05:30,24-08-2020,06:40:00,0,27.4,7.53
2020-08-24 06:45:00+05:30,24-08-2020,06:45:00,0,27.42,7.51
2020-08-24 06:50:00+05:30,24-08-2020,06:50:00,0,27.44,7.48
2020-08-24 06:55:00+05:30,24-08-2020,06:55:00,0,27.46,7.46
2020-08-24 07:00:00+05:30,24-08-2020,07:00:00,0,27.48,7.44
2020-08-24 07:05:00+05:30,24-08-2020,07:05:00,0,27.5,7.42
2020-08-24 07:10:00+05:30,24-08-2020,07:10:00,0,27.52,7.39
2020-08-24 07:15:00+05:30,24-08-2020,07:15:00,0,27.54,7.37
2020-08-24 07:20:00+05:30,24-08-2020,07:20:00,0,27.56,7.35
2020-08-24 07:25:00+05:30,24-08-2020,07:25:00,0,27.58,7.32
2020-08-24 07:30:00+05:30,24-08-2020,07:30:00,0,27.6,7.3
2020-08-24 07:35:00+05:30,24-08-2020,07:35:00,0,27.6,7.42
2020-08-24 07:40:00+05:30,24-08-2020,07:40:00,0,27.61,7.53
